2026-05-18 00:25:13.274 [main] INFO  c.jones.activation.ActivationCodeServerApplication - Starting ActivationCodeServerApplication using Java 21.0.11 with PID 49272 (D:\huliang\java\ideaworkspace\jonesDevtools\秘钥激活码实现方案\activation-code-server\target\classes started by liangzi in D:\huliang\java\ideaworkspace\jonesDevtools\秘钥激活码实现方案\activation-code-server)
2026-05-18 00:25:13.276 [main] INFO  c.jones.activation.ActivationCodeServerApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-18 00:25:14.134 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-18 00:25:14.149 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-18 00:25:14.152 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-05-18 00:25:14.152 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-05-18 00:25:14.248 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-18 00:25:14.249 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 933 ms
2026-05-18 00:25:14.300 [main] INFO  com.jones.activation.config.RsaKeyConfig - RSA密钥对不存在，正在生成新的密钥对...
2026-05-18 00:25:15.284 [main] INFO  com.jones.activation.config.RsaKeyConfig - RSA密钥对已生成并保存到: D:\huliang\java\ideaworkspace\jonesDevtools\秘钥激活码实现方案\activation-code-server\.\rsa_keys\private_key.pem 和 D:\huliang\java\ideaworkspace\jonesDevtools\秘钥激活码实现方案\activation-code-server\.\rsa_keys\public_key.pem
2026-05-18 00:25:15.287 [main] INFO  com.jones.activation.config.RsaKeyConfig - RSA密钥对加载成功
2026-05-18 00:25:15.419 [main] INFO  com.zaxxer.hikari.HikariDataSource - ActivationCodeHikariCP - Starting...
2026-05-18 00:25:15.565 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ActivationCodeHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@12d40609
2026-05-18 00:25:15.566 [main] INFO  com.zaxxer.hikari.HikariDataSource - ActivationCodeHikariCP - Start completed.
2026-05-18 00:25:15.744 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-05-18 00:25:16.137 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-18 00:25:16.173 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-18 00:25:16.180 [main] INFO  c.jones.activation.ActivationCodeServerApplication - Started ActivationCodeServerApplication in 3.584 seconds (process running for 3.977)
